,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
0,Hambantota,LK,6.1241,81.1185,77.0,100,40,3.44,heavy intensity rain
1,Ushuaia,AR,-54.8,-68.3,50.0,34,20,14.97,few clouds
2,Ludvika,SE,60.1496,15.1878,45.0,45,90,5.75,overcast clouds
3,Botucatu,BR,-22.8858,-48.445,76.8,41,1,8.01,clear sky
4,Kalengwa,ZM,-13.4659,25.0027,67.08,73,80,5.41,broken clouds
5,Port-Gentil,GA,-0.7193,8.7815,84.2,70,20,3.44,light rain
6,Dikson,RU,73.5069,80.5464,-11.43,100,94,3.65,overcast clouds
7,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,88,20,16.11,few clouds
8,Bubaque,GW,11.2833,-15.8333,78.01,76,5,10.42,clear sky
9,Elizabeth City,US,36.2946,-76.2511,73.0,46,1,8.93,clear sky
10,Moldova Noua,RO,44.7375,21.6669,39.0,91,100,3.0,overcast clouds
11,Vardo,NO,70.3705,31.1107,32.0,80,40,17.27,scattered clouds
12,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,90,11.5,mist
13,Ilulissat,GL,69.2167,-51.1,19.4,68,75,16.11,broken clouds
14,Salalah,OM,17.0151,54.0924,82.4,74,0,5.75,clear sky
15,Busselton,AU,-33.65,115.3333,54.0,96,41,1.99,scattered clouds
16,Lagoa,PT,39.05,-27.9833,60.75,88,95,13.02,overcast clouds
17,Qaanaaq,GL,77.484,-69.3632,-6.02,78,2,2.46,clear sky
18,Jamestown,US,42.097,-79.2353,57.2,44,20,14.97,few clouds
19,Cape Town,ZA,-33.9258,18.4232,66.99,82,0,13.8,clear sky
20,Linhares,BR,-19.3911,-40.0722,82.36,46,60,11.03,broken clouds
21,Hammerfest,NO,70.6634,23.6821,30.2,69,75,17.27,snow
22,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,65,75,13.8,broken clouds
23,Ginir,ET,7.1333,40.7,62.29,59,92,0.94,overcast clouds
24,Llangefni,GB,53.2556,-4.3106,53.6,50,20,10.36,few clouds
25,Bafia,CM,4.75,11.2333,74.98,73,100,1.77,overcast clouds
26,East London,ZA,-33.0153,27.9116,71.6,88,75,8.05,broken clouds
27,Tarko-Sale,RU,64.9225,77.785,30.99,78,99,16.04,overcast clouds
28,Sambava,MG,-14.2667,50.1667,77.29,86,88,5.97,light rain
29,Ponta Do Sol,PT,32.6667,-17.1,68.0,73,40,3.44,scattered clouds
30,Puerto El Triunfo,SV,13.2833,-88.55,96.8,46,20,3.44,few clouds
31,Jacareacanga,BR,-6.2222,-57.7528,89.6,62,20,5.75,few clouds
32,Iquitos,PE,-3.7481,-73.2472,87.8,66,75,4.61,broken clouds
33,Torit,SS,4.4133,32.5678,78.84,57,94,1.68,overcast clouds
34,Hermanus,ZA,-34.4187,19.2345,69.01,78,1,1.01,clear sky
35,Halifax,CA,44.6453,-63.5724,55.4,40,40,20.71,scattered clouds
36,Esmeralda,CU,21.8525,-78.1169,86.0,37,20,18.41,few clouds
37,Pisco,PE,-13.7,-76.2167,71.01,73,0,10.36,clear sky
38,Punta Arenas,CL,-53.15,-70.9167,44.6,70,75,21.85,light rain
39,Sao Filipe,CV,14.8961,-24.4956,79.43,55,34,16.51,scattered clouds
40,Misratah,LY,32.3754,15.0925,61.45,64,45,13.71,scattered clouds
41,Rawson,AR,-43.3002,-65.1023,79.66,28,64,9.15,broken clouds
42,Buraydah,SA,26.326,43.975,78.8,31,0,12.66,clear sky
43,Upernavik,GL,72.7868,-56.1549,-3.48,92,85,9.08,overcast clouds
44,Mehamn,NO,71.0357,27.8492,33.8,64,75,18.41,snow
45,Soyo,AO,-6.1349,12.3689,81.88,78,76,6.06,broken clouds
46,Sorland,NO,67.667,12.6934,41.0,75,75,26.46,broken clouds
47,Huarmey,PE,-10.0681,-78.1522,73.58,72,32,9.8,scattered clouds
48,Santarem,BR,-2.4431,-54.7083,86.0,74,40,9.22,scattered clouds
49,Jiwani,PK,25.05,61.7417,80.26,79,56,8.57,broken clouds
50,Bredasdorp,ZA,-34.5322,20.0403,60.8,88,1,2.3,clear sky
51,Adrar,MR,20.5022,-10.0711,94.57,10,80,12.64,broken clouds
52,Pedernales,DO,18.0384,-71.744,82.71,66,22,9.86,few clouds
53,Awassa,ET,7.05,38.4667,63.25,83,92,6.89,overcast clouds
54,Los Llanos De Aridane,ES,28.6585,-17.9182,73.4,68,20,4.61,few clouds
55,Saint-Augustin,CA,51.226,-58.6502,45.81,45,0,6.06,clear sky
56,Semey,KZ,50.4111,80.2275,45.64,57,49,4.36,scattered clouds
57,Dudinka,RU,69.4058,86.1778,5.0,97,100,3.94,overcast clouds
58,Gat,IL,31.61,34.7642,66.0,56,72,1.99,broken clouds
59,San Juan Del Cesar,CO,10.7711,-73.0031,90.99,53,100,8.3,overcast clouds
60,Luangwa,ZM,-15.6167,30.4167,72.39,57,1,1.86,clear sky
61,Vila Velha,BR,-20.3297,-40.2925,82.0,57,40,16.11,scattered clouds
62,Vytegra,RU,61.0064,36.4481,36.93,98,100,2.68,overcast clouds
63,Hobyo,SO,5.3505,48.5268,82.44,66,29,14.74,scattered clouds
64,Kavaratti,IN,10.5669,72.642,84.43,68,6,7.9,clear sky
65,Shache,CN,38.4167,77.2406,62.26,24,100,6.69,overcast clouds
66,San Juan,AR,-31.5375,-68.5364,79.45,28,0,4.5,clear sky
67,Muros,ES,42.7762,-9.0603,73.0,46,74,5.95,broken clouds
68,Nanortalik,GL,60.1432,-45.2371,33.39,84,3,14.38,clear sky
69,Slatina,RO,44.4333,24.3667,45.0,65,75,25.32,broken clouds
70,Plouzane,FR,48.3833,-4.6167,53.6,50,0,17.27,clear sky
71,Bundu,IN,23.1833,85.5833,82.4,36,40,2.3,haze
72,Kruisfontein,ZA,-34.0033,24.7314,66.0,92,19,1.99,few clouds
73,Neyshabur,IR,36.2133,58.7958,66.27,29,18,11.03,few clouds
74,Le Port,RE,-20.9373,55.2919,78.8,61,90,8.05,moderate rain
75,Ribeira Grande,PT,38.5167,-28.7,64.4,88,75,8.05,broken clouds
76,Shubarshi,KZ,48.5872,57.1869,56.61,46,29,10.16,scattered clouds
77,Klaksvik,FO,62.2266,-6.589,44.6,100,75,6.91,broken clouds
78,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,90,9.22,light rain
79,Chuy,UY,-33.6971,-53.4616,72.66,55,0,9.15,clear sky
80,Clyde River,CA,70.4692,-68.5914,1.4,78,20,10.36,few clouds
81,Prata,BR,-19.3072,-48.9242,90.39,28,10,3.62,clear sky
82,Caravelas,BR,-17.7125,-39.2481,80.98,55,63,13.42,broken clouds
83,Tasiilaq,GL,65.6145,-37.6368,32.0,93,90,6.91,light snow
84,Touros,BR,-5.1989,-35.4608,84.2,74,40,11.5,scattered clouds
85,Necochea,AR,-38.5473,-58.7368,75.0,49,0,17.0,clear sky
86,Saldanha,ZA,-33.0117,17.9442,77.0,38,59,9.22,broken clouds
87,Thinadhoo,MV,0.5333,72.9333,82.87,64,77,5.97,broken clouds
88,Victoria,HK,22.2855,114.1577,75.0,88,66,1.01,broken clouds
89,Agucadoura,PT,41.4318,-8.7804,72.0,68,0,11.5,clear sky
90,Laguna,US,38.421,-121.4238,60.01,58,1,3.44,clear sky
91,Bayan,CN,46.0833,127.4,37.58,22,90,6.85,overcast clouds
92,Niwari,IN,28.8833,77.5333,91.99,19,40,3.44,haze
93,Amapa,BR,1.0,-52.0,81.66,88,76,3.85,broken clouds
94,Ardakan,IR,32.31,54.0175,77.0,20,40,9.22,scattered clouds
95,Santiago Del Estero,AR,-27.7951,-64.2615,80.94,45,0,10.56,clear sky
96,Kyshtovka,RU,56.555,76.6271,37.24,99,100,3.62,overcast clouds
97,Saint George,US,37.1041,-113.5841,66.0,24,1,18.41,clear sky
98,Mahebourg,MU,-20.4081,57.7,78.8,78,40,5.75,scattered clouds
99,Saint-Georges,GD,12.0564,-61.7485,84.2,79,75,17.27,broken clouds
100,Zarate,AR,-34.0981,-59.0286,75.99,50,0,11.01,clear sky
101,Chute-Aux-Outardes,CA,49.1168,-68.399,48.2,46,1,5.75,clear sky
102,Diffa,NE,13.3154,12.6113,93.67,4,0,8.99,clear sky
103,Jalu,LY,29.0331,21.5482,84.43,11,0,8.37,clear sky
104,Maniitsoq,GL,65.4167,-52.9,24.04,81,84,28.63,broken clouds
105,Lima,PE,-12.0432,-77.0282,69.8,78,75,8.05,broken clouds
106,Concordia,AR,-31.393,-58.0209,77.0,57,75,4.61,broken clouds
107,Cuenca,EC,-2.8833,-78.9833,66.2,59,90,8.05,light rain
108,Longyearbyen,SJ,78.2186,15.6401,6.8,56,20,8.05,few clouds
109,Tollose,DK,55.6125,11.7703,44.6,45,14,12.66,few clouds
110,Wadi Musa,JO,30.3222,35.4793,62.37,27,5,5.7,clear sky
111,Praia Da Vitoria,PT,38.7333,-27.0667,66.99,68,40,7.36,scattered clouds
112,Araripe,BR,-7.2125,-40.0461,83.16,58,38,3.94,light rain
113,Abdulino,RU,53.7,53.6667,48.49,73,2,9.13,clear sky
114,Faya,SA,18.3851,42.4509,68.0,68,20,5.75,few clouds
115,Lethem,GY,3.3803,-59.7968,87.82,59,96,7.85,overcast clouds
116,Luderitz,NA,-26.6481,15.1594,78.91,32,0,9.55,clear sky
117,Owerri,NG,5.4833,7.0304,80.76,69,96,4.41,overcast clouds
118,Walvis Bay,NA,-22.9575,14.5053,78.42,42,0,9.73,clear sky
119,Taltal,CL,-25.4,-70.4833,67.59,68,22,4.7,few clouds
120,Iisaku,EE,59.1014,27.3081,37.71,76,92,6.22,overcast clouds
121,Harper,LR,4.375,-7.7169,84.42,70,83,8.7,broken clouds
122,Grindavik,IS,63.8424,-22.4338,46.4,76,40,20.71,scattered clouds
123,Hvide Sande,DK,56.0045,8.1294,46.0,58,52,8.61,broken clouds
124,Bara,NG,10.3744,10.7288,96.8,20,0,12.66,clear sky
125,Portobelo,PA,9.55,-79.65,90.0,79,99,37.0,overcast clouds
126,Port Alfred,ZA,-33.5906,26.891,68.86,85,18,8.48,few clouds
127,Coquimbo,CL,-29.9533,-71.3436,60.8,82,75,8.05,broken clouds
128,Bathsheba,BB,13.2167,-59.5167,84.2,58,20,11.5,few clouds
129,Torbay,CA,47.6666,-52.7314,36.0,93,90,17.27,overcast clouds
130,Atar,MR,20.5169,-13.0499,96.37,11,56,14.0,broken clouds
131,Mizque,BO,-17.941,-65.3402,74.68,49,39,6.26,scattered clouds
132,Arlit,NE,18.7369,7.3853,100.36,4,0,1.79,clear sky
133,Hofn,IS,64.2539,-15.2082,48.2,81,20,14.97,few clouds
134,Aras,ES,42.5617,-2.356,66.2,32,40,8.05,scattered clouds
135,Bambous Virieux,MU,-20.3428,57.7575,79.0,78,40,5.75,scattered clouds
136,Beyneu,KZ,45.3167,55.2,65.77,23,37,15.12,scattered clouds
137,San Luis,AR,-33.295,-66.3356,76.6,39,0,10.92,clear sky
138,Chikmagalur,IN,13.3167,75.7833,69.73,77,77,4.16,light rain
139,Qasigiannguit,GL,68.8193,-51.1922,19.4,68,75,16.11,broken clouds
140,Acarau,BR,-2.8856,-40.12,85.26,67,75,14.61,broken clouds
141,Passo De Camaragibe,BR,-9.2368,-35.4901,77.0,94,75,6.91,light rain
142,Janakpur,NP,26.7183,85.9065,86.27,10,47,3.62,scattered clouds
143,Khandbari,NP,27.3747,87.2039,70.3,22,28,5.3,scattered clouds
144,Vredendal,ZA,-31.6683,18.5012,88.95,16,21,12.33,few clouds
145,Maues,BR,-3.3836,-57.7186,85.87,71,81,4.34,broken clouds
146,Stulovo,RU,58.7225,50.1439,42.35,93,22,6.46,few clouds
147,Carnarvon,AU,-24.8667,113.6333,74.95,39,0,21.77,clear sky
148,Marathon,US,44.9,-89.7668,37.4,65,90,8.05,overcast clouds
149,Copacabana,CO,6.3463,-75.5089,71.6,60,90,9.22,heavy intensity rain
150,Matay,EG,28.419,30.7792,77.27,18,56,10.47,broken clouds
151,Ponta Delgada,PT,37.7333,-25.6667,62.6,88,20,16.11,few clouds
152,Am Timan,TD,11.0297,20.2827,95.23,6,51,5.53,broken clouds
153,Mitsamiouli,KM,-11.3847,43.2844,80.58,78,97,9.35,overcast clouds
154,Taoudenni,ML,22.6783,-3.9836,103.08,9,64,13.47,broken clouds
155,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.8,89,90,2.3,light rain
156,Huaraz,PE,-9.5333,-77.5333,64.26,54,72,1.99,light rain
157,Bilma,NE,18.6853,12.9164,96.58,5,0,8.66,clear sky
158,Usinsk,RU,65.9939,57.5281,41.63,99,100,16.13,overcast clouds
159,Amsterdam,NL,52.374,4.8897,46.99,53,20,12.66,few clouds
160,Hamilton,US,39.1834,-84.5333,59.0,58,75,8.05,broken clouds
161,Qeshm,IR,26.9581,56.2719,87.8,48,100,9.22,overcast clouds
162,Itarema,BR,-2.9248,-39.9167,85.62,66,85,13.71,overcast clouds
163,Margate,GB,51.3813,1.3862,45.0,62,6,4.0,clear sky
164,Levokumskoye,RU,44.8219,44.6606,54.25,70,100,9.48,light rain
165,Le Moule,GP,16.3332,-61.3473,87.8,66,0,8.05,clear sky
166,Otanche,CO,5.6567,-74.1825,82.53,57,100,3.44,overcast clouds
167,Port Hawkesbury,CA,45.6169,-61.3485,43.0,65,90,10.36,light rain
168,Georgetown,MY,5.4112,100.3354,81.0,88,40,1.14,scattered clouds
169,Porto Novo,BJ,6.4965,2.6036,87.8,70,20,13.8,few clouds
170,Tuni,IN,17.35,82.55,79.41,71,99,7.99,overcast clouds
171,Lebu,CL,-37.6167,-73.65,62.35,79,8,6.69,clear sky
172,Mar Del Plata,AR,-38.0023,-57.5575,73.4,53,20,14.97,few clouds
173,Puerto Del Rosario,ES,28.5004,-13.8627,77.0,53,40,13.8,scattered clouds
174,Irara,BR,-12.05,-38.7667,89.1,35,33,13.73,scattered clouds
175,Lugovskoy,RU,56.9585,64.529,53.6,58,0,8.95,clear sky
176,Unai,BR,-16.3575,-46.9061,84.36,41,69,4.14,broken clouds
177,Americus,US,32.0724,-84.2327,84.2,24,1,5.75,clear sky
178,Yar-Sale,RU,66.8333,70.8333,35.26,99,100,19.35,overcast clouds
179,Manali,IN,13.1667,80.2667,82.4,78,40,2.3,light rain
180,Wenchi,GH,7.7392,-2.1046,87.71,42,86,4.65,overcast clouds
181,Souillac,MU,-20.5167,57.5167,78.8,78,40,5.75,scattered clouds
182,Mayumba,GA,-3.432,10.6554,82.31,78,96,5.44,overcast clouds
183,Ibipeba,BR,-11.6408,-42.0111,94.08,24,75,2.01,broken clouds
184,San Cristobal,VE,7.7669,-72.225,87.8,58,40,4.61,scattered clouds
185,Codrington,AU,-38.2667,141.9667,54.61,75,72,11.54,broken clouds
186,San Nicolas,PH,18.1725,120.5953,79.03,76,76,5.19,broken clouds
187,Narsaq,GL,60.9167,-46.05,39.2,70,20,6.91,fog
188,Rio Gallegos,AR,-51.6226,-69.2181,59.0,20,20,20.71,few clouds
189,Markivka,UA,49.5229,39.5705,56.59,54,100,8.19,overcast clouds
190,Jam Sahib,PK,26.2958,68.6292,84.2,51,79,4.61,haze
191,Calahorra,ES,42.3051,-1.9652,69.8,32,40,8.05,scattered clouds
192,Santa Fe,AR,-31.6333,-60.7,81.0,47,2,8.01,clear sky
193,Iracoubo,GF,5.4802,-53.2011,83.3,71,67,11.43,broken clouds
194,Palencia,ES,42.4167,-4.5,63.0,42,59,10.0,broken clouds
195,Sabha,LY,27.0377,14.4283,84.97,14,38,11.95,scattered clouds
196,Alta Floresta,BR,-9.8756,-56.0861,80.6,94,40,5.75,scattered clouds
197,Abu Kamal,SY,34.4506,40.9171,68.11,19,20,6.53,few clouds
198,Bonfim,BR,3.0833,-59.95,86.47,60,99,5.41,overcast clouds
199,Quatre Cocos,MU,-20.2078,57.7625,79.0,78,40,5.75,scattered clouds
200,Thyboron,DK,56.6985,8.2124,48.0,59,44,1.01,scattered clouds
201,Alghero,IT,40.5589,8.3181,60.8,48,0,8.05,clear sky
202,Kenscoff,HT,18.4506,-72.2869,87.8,58,20,11.5,few clouds
203,Bilaspur,IN,22.0833,82.15,80.06,35,63,9.31,broken clouds
204,Castro,BR,-24.7911,-50.0119,69.76,51,100,6.46,overcast clouds
205,Kallithea,GR,37.95,23.7,64.99,58,100,1.01,overcast clouds
206,Hithadhoo,MV,-0.6,73.0833,83.07,63,86,4.74,overcast clouds
207,Lokosovo,RU,61.1333,74.8167,35.47,99,100,5.66,overcast clouds
208,Paamiut,GL,61.994,-49.6678,32.36,98,95,11.39,overcast clouds
209,Khorol,UA,49.7837,33.2783,50.9,79,100,2.13,overcast clouds
210,Hyeres,FR,43.1167,6.1167,57.2,67,0,11.5,clear sky
211,Strzegom,PL,50.9626,16.3501,36.0,76,100,7.83,overcast clouds
212,Mao,ES,39.8885,4.2658,57.2,72,75,6.91,broken clouds
213,Iqaluit,CA,63.7506,-68.5145,3.2,72,1,27.63,clear sky
214,Brae,GB,60.3964,-1.353,46.4,87,40,6.91,scattered clouds
215,Luanda,AO,-8.8368,13.2343,82.4,78,40,8.05,light rain
216,Araouane,ML,18.9048,-3.5265,105.37,4,2,2.44,clear sky
217,Ostrovnoy,RU,68.0531,39.5131,28.09,84,46,15.59,scattered clouds
218,Saint Anthony,US,45.0205,-93.218,42.01,65,90,11.5,overcast clouds
219,Tutoia,BR,-2.7619,-42.2744,89.6,66,20,13.8,few clouds
220,Don Benito,ES,38.9563,-5.8616,68.0,68,100,7.0,overcast clouds
221,Cidreira,BR,-30.1811,-50.2056,73.72,58,0,13.98,clear sky
222,Boyabat,TR,41.4689,34.7667,53.74,70,43,3.22,scattered clouds
223,Makushino,RU,55.2103,67.2442,43.36,89,29,9.17,scattered clouds
